asset_id,asset_name,travel_seconds,travel_time_str,stopped_seconds,stopped_time_str,proyecto,ec,fecha_procesamiento
281474994511228,2123,15900,4:25:00,84674,23:31:14,Circuitos,EC-03,2026-02-20
281474994511232,2128,33107,9:11:47,47038,13:03:58,Liverpool Full,EC-01,2026-02-20
281474994511235,2114,59829,16:37:09,24066,6:41:06,Sayer Vuelteros,EC-04,2026-02-20
281474994511241,2137,3410,0:56:50,75713,21:01:53,Sayer Full,EC-04,2026-02-20
281474994511248,2121,3854,1:04:14,87859,"1 day, 0:24:19",Circuitos Expo,EC-03,2026-02-20
281474994511255,2134,14435,4:00:35,78645,21:50:45,Circuitos,EC-03,2026-02-20
281474994511500,1974,7202,2:00:02,94645,"1 day, 2:17:25",MeLi Dedicado SD,EC-05,2026-02-20
281474994511507,1964,28760,7:59:20,60440,16:47:20,MeLi Dedicado SD,EC-05,2026-02-20
281474994511525,1961,1195,0:19:55,94404,"1 day, 2:13:24",MeLi Dedicado SD,EC-05,2026-02-20
281474994511527,1960,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474994511531,1957,21142,5:52:22,60606,16:50:06,MeLi Dedicado SD,EC-05,2026-02-20
281474994511533,1956,21306,5:55:06,63564,17:39:24,MeLi Dedicado SD,EC-05,2026-02-20
281474994511539,1954,31531,8:45:31,59167,16:26:07,MeLi Dedicado SD,EC-05,2026-02-20
281474994511546,1953,9991,2:46:31,85122,23:38:42,MeLi Asignado,EC-05,2026-02-20
281474994511553,1952,49719,13:48:39,28889,8:01:29,MeLi Dedicado SD,EC-05,2026-02-20
281474994511556,1951,42211,11:43:31,24008,6:40:08,MeLi Dedicado SD,EC-05,2026-02-20
281474994511558,1950,21577,5:59:37,71759,19:55:59,MeLi Dedicado SD,EC-05,2026-02-20
281474994511562,1949,30575,8:29:35,62889,17:28:09,MeLi Asignado,EC-05,2026-02-20
281474994511566,1946,23499,6:31:39,59053,16:24:13,MeLi Dedicado SD,EC-05,2026-02-20
281474994511571,1945,25515,7:05:15,62016,17:13:36,MeLi Asignado,EC-05,2026-02-20
281474994511575,1944,23403,6:30:03,66079,18:21:19,MeLi Dedicado SD,EC-05,2026-02-20
281474994531419,2115,36478,10:07:58,29621,8:13:41,Sayer Sencillo,EC-04,2026-02-20
281474994531906,2132,31748,8:49:08,60259,16:44:19,Liverpool Full,EC-01,2026-02-20
281474994531981,2133,8597,2:23:17,88366,"1 day, 0:32:46",Circuitos,EC-03,2026-02-20
281474994585280,DAÑADO SDD,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474994747511,DC05,21000,5:50:00,0,0:00:00,Mabe,EC-10,2026-02-20
281474994774862,1896,52591,14:36:31,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474994774927,1869,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474994774987,1800,3306,0:55:06,86469,"1 day, 0:01:09",Walmart Full SC,EC-08,2026-02-20
281474994775016,1886,2500,0:41:40,87676,"1 day, 0:21:16",Circuitos,EC-03,2026-02-20
281474994775032,1830,0,0:00:00,99120,"1 day, 3:32:00",Mabe Componentes,EC-10,2026-02-20
281474994775042,1891,27136,7:32:16,38315,10:38:35,Patieros Sucursal,EC-03,2026-02-20
281474994775045,1834,18800,5:13:20,54941,15:15:41,Walmart Full SC,EC-08,2026-02-20
281474994775049,1975,41526,11:32:06,22001,6:06:41,Circuitos,EC-03,2026-02-20
281474994775053,1829,3480,0:58:00,94445,"1 day, 2:14:05",Conductores,EC-10,2026-02-20
281474994775064,2139,20867,5:47:47,63511,17:38:31,Circuitos,EC-03,2026-02-20
281474994775069,DAÑADO PUT,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474994775075,2135,41726,11:35:26,34002,9:26:42,Circuitos,EC-03,2026-02-20
281474994775079,1943,40209,11:10:09,28230,7:50:30,Circuitos,EC-03,2026-02-20
281474994775088,2130,0,0:00:00,99120,"1 day, 3:32:00",Liverpool Full,EC-01,2026-02-20
281474994775090,1795,55925,15:32:05,0,0:00:00,Pilgrims Tepo,EC-02,2026-02-20
281474994775095,1835,11615,3:13:35,82256,22:50:56,Conductores,EC-10,2026-02-20
281474994775096,2140,46428,12:53:48,40961,11:22:41,Liverpool Full,EC-01,2026-02-20
281474994775110,1784,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474994775112,2127,30997,8:36:37,69183,19:13:03,Liverpool Full,EC-01,2026-02-20
281474994775119,1942,8621,2:23:41,75642,21:00:42,Walmart Sencillo ,EC-08,2026-02-20
281474994775121,2119,82,0:01:22,99038,"1 day, 3:30:38",Circuitos,EC-03,2026-02-20
281474994775131,1790,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474994775141,2126,0,0:00:00,99120,"1 day, 3:32:00",Liverpool Full,EC-01,2026-02-20
281474994775142,2131,69353,19:15:53,11243,3:07:23,Liverpool Full,EC-01,2026-02-20
281474994775147,1857,1062,0:17:42,98057,"1 day, 3:14:17",Pilgrims Tepo,EC-02,2026-02-20
281474994775149,2138,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474994775153,1972,66580,18:29:40,13537,3:45:37,Circuitos,EC-03,2026-02-20
281474994775191,1858,36361,10:06:01,18299,5:04:59,Pilgrims Tepo,EC-02,2026-02-20
281474994775229,1786,39638,11:00:38,39113,10:51:53,Mabe Loyalty,EC-10,2026-02-20
281474994775239,1777,58574,16:16:14,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474994775245,2136,26978,7:29:38,52863,14:41:03,Patieros Sucursal,EC-03,2026-02-20
281474994775287,1932,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474994775326,2122,34758,9:39:18,54843,15:14:03,Circuitos,EC-03,2026-02-20
281474994775336,1874,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474994775389,2111,42841,11:54:01,31599,8:46:39,Circuitos,EC-03,2026-02-20
281474994797845,GMZ7-KGM-FAU - AVL,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474994985787,2112,45738,12:42:18,30620,8:30:20,Circuitos,EC-03,2026-02-20
281474994985795,2125,46839,13:00:39,35205,9:46:45,Liverpool Full,EC-01,2026-02-20
281474994985804,2124,69515,19:18:35,12021,3:20:21,Liverpool Full,EC-01,2026-02-20
281474995520175,1890,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474995533718,1909,53455,14:50:55,0,0:00:00,Circuitos,EC-03,2026-02-20
281474995533817,2141,58267,16:11:07,18955,5:15:55,MeLi Dedicado TD,EC-05,2026-02-20
281474995533833,2142,4024,1:07:04,83594,23:13:14,MeLi Dedicado TD,EC-05,2026-02-20
281474995533847,2143,58372,16:12:52,29013,8:03:33,MeLi Dedicado TD,EC-05,2026-02-20
281474995533856,2144,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474995533866,2145,54677,15:11:17,24703,6:51:43,MeLi Dedicado TD,EC-05,2026-02-20
281474995533876,2146,61192,16:59:52,22316,6:11:56,MeLi Dedicado TD,EC-05,2026-02-20
281474995533898,2147,61327,17:02:07,25847,7:10:47,MeLi Dedicado TD,EC-05,2026-02-20
281474995533912,2148,9926,2:45:26,85437,23:43:57,MeLi Dedicado TD,EC-05,2026-02-20
281474995533922,2149,14363,3:59:23,76838,21:20:38,MeLi Dedicado TD,EC-05,2026-02-20
